Nt_PVK/ETL,Nt_HTL/PVK,Na_PVK,Nd_PVK,Na_HTL,Nd_HTL,Na_ETL,Nd_ETL,eta
31.376952329170912,25.421719856263994,43.122518354056744,36.17115209700577,41.036728944617934,16.8299515417153,28.39738475525178,34.36008212399179,18.128
29.486101280426155,23.207356200888686,30.42773205871846,40.060540160031955,40.12458001575787,20.2861515664165,33.93965983462181,41.42513213027729,20.1211
31.622997499780062,28.883788264028663,36.57233350663616,31.204408494947707,24.253613241182098,17.65320800004323,32.84306913013315,43.66161281985801,15.9502
27.372483707240402,25.276872360783216,33.23272057835808,36.614059053655446,26.705783099942284,5.0376428015685075,43.22568937038267,40.74489986759788,0.0
32.04089974018632,30.293928409985398,35.051145182123456,43.52174669953639,45.656867997082415,17.49572735930795,44.55453181891711,29.734867531656807,0.0
31.541944301849842,30.556636585298786,28.8380199777832,36.52368334689239,26.677657794872026,1.9992037365042759,32.409400162692194,33.81740417410872,14.0701
31.88275675796975,23.218636437337132,44.36520830141827,27.32256027287362,38.224230559436315,13.902524293100177,41.818758730391764,31.885895869792787,0.0
30.282310929829933,31.98889615889251,26.520060364362383,42.92749922124024,45.122096721241064,5.091290889684461,29.334205097885086,31.8342530382462,21.6502
23.71060866502929,26.74578356987076,40.248582110211146,24.76332341462754,27.788806213794512,7.295061966560609,37.07229320418339,31.581184417735127,0.0165
28.177662369363386,28.768806638800278,40.41680289639694,38.26932902155215,29.846819564780287,20.184840741814757,34.298201851588246,32.02387154228124,0.0
30.85726788420654,25.592129771215333,27.005763860815843,36.4103673266725,37.60500176914135,2.206855108875508,29.894730320937065,38.42879072769464,16.4991
27.463102102240953,28.48474513108462,35.174313903421236,42.80932389501928,42.45144388773005,7.912378831906613,37.31772414839208,43.45485259971548,21.6175
32.09991602741391,31.04280070948376,41.46621359313699,42.42182497479271,26.27209844438171,18.97264957728222,41.148791950669164,30.48733841801731,0.0
29.20129325107751,30.201856769034674,37.907592015608564,33.26979345457747,33.50790268763883,8.473741625742088,40.52739322688375,45.39956885170669,21.2618
26.254628632374608,28.87482435031369,27.456749528031672,29.457385017821597,38.66834058130058,18.137589052317043,28.15262086043122,45.72976311238444,23.4896
