Nt_PVK/ETL,Nt_HTL/PVK,Na_PVK,Nd_PVK,Na_HTL,Nd_HTL,Na_ETL,Nd_ETL,eta
26.57428294048783,24.410643984716824,46.00884459966501,44.04109313688835,44.81541834914205,22.159865004906965,29.084729648428613,36.94434932182192,23.088
31.869804663128974,24.210528796779823,41.640329738842574,41.57005529879031,35.8629592103582,2.14643298835981,38.33763291695018,37.52061840827263,0.0
27.118760917824556,26.07460042144894,35.81579787612314,38.9920546747295,32.09604290852321,13.064082014510898,43.671264183678616,39.80763094406742,0.0
24.8566207098423,25.234546280975895,25.743898709008867,25.13270051431585,34.932304465135786,11.52267203389075,34.4182740341125,34.53711378642296,21.0429
29.82320013864651,23.781130933963386,44.405634052942624,38.52962768972215,36.02441817921745,5.377226762785281,40.91686799979036,36.16913134127386,0.0
26.404911709502223,27.298172175621737,28.663284713909462,40.952064208753754,44.92221267115669,8.62331547289201,30.999291364888375,40.16261688213336,20.6866
30.539614762398486,32.09241517238305,42.89052435149132,31.276405628644227,29.560771244137403,19.879664660935866,37.65923055782235,35.3346699792093,0.0
27.18012364914325,23.222401724842946,23.16726520968411,28.28364721835918,36.57543472970265,2.9882060716624284,37.184911769811784,40.87705643490348,19.7831
24.093645061749353,24.403681312478138,28.48059056914057,36.99108187042878,44.520840999476995,23.02089932591086,45.795398362023235,34.10068382801884,0.0
25.60506791009105,30.679062072471705,44.34353773148912,38.099309014660086,38.94877885346944,2.5266777303016825,31.875394098020095,42.76289703216148,22.0188
