CHI_PVK,Eg_HTL,CHI_HTL,Eg_ETL,CHI_ETL,eta
2.41735071806679,4.64784255903653,2.06726582995999,2.69206609383078,4.53468897220196,0.0
2.56225555932373,2.38739883066808,3.21268396370747,2.7724642332228,4.90604304572583,0.0
4.60059205634335,1.22261786098939,3.80547243352899,1.4090277829857,4.35706312773083,3.8948
3.80979581972592,2.56019313057824,1.95191310334856,2.70073471018222,2.00090010804002,0.0
5.21648137640114,1.5103423807176,1.41265334996873,2.02130283572811,2.58360948676324,0.0
4.66280587755591,1.66394657255261,3.8105756345945,1.69646765068247,5.5173818078786,19.9857
2.01590695090172,4.78895240004929,2.49589192768266,2.42816666871781,4.85764125986779,0.0
4.06051559809546,3.78231126050998,3.19360288142332,1.53917156164458,5.55560207033681,0.0
2.3602574239616,4.33486391865931,1.14283455548742,2.28445508598879,2.77129722782765,0.0
5.90053592014581,2.74906447932873,2.35544165311723,1.12809761508421,5.66897637636449,0.0
